Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.400,3.171,2.766,2.923,3.045,3.388,3.672,3.997,4.229,4.229,0.315
5,7.400,3.079,2.650,2.780,2.922,3.040,3.912,4.788,5.188,5.188,0.325
10,6.400,3.032,2.610,2.841,2.880,3.160,3.365,3.960,4.193,4.193,0.330
15,3.400,3.187,2.700,2.823,2.895,3.137,3.328,7.060,7.060,7.060,0.314
20,3.600,2.961,2.587,2.835,3.000,3.068,3.293,3.489,3.489,3.489,0.338
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,1.400,3.056,2.768,2.820,2.989,3.114,3.763,3.763,3.763,3.763,0.327
35,3.000,3.120,2.651,2.803,2.962,3.406,3.936,4.242,4.242,4.242,0.321
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,4.200,2.978,2.691,2.829,2.983,3.077,3.169,3.228,3.605,3.605,0.336
55,4.000,2.911,2.716,2.791,2.893,2.939,3.386,3.437,3.437,3.437,0.344
