Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,2.372,0.003,2.424,2.553,2.639,3.307,3.494,3.551,3.551,0.422
5,3.800,3.330,2.359,2.411,2.565,3.745,6.766,6.970,6.970,6.970,0.300
10,2.400,2.530,2.162,2.415,2.499,2.632,2.869,2.883,2.883,2.883,0.395
15,2.000,2.623,2.316,2.470,2.549,2.690,3.570,3.570,3.570,3.570,0.381
20,2.200,2.524,2.306,2.366,2.407,2.576,2.795,3.193,3.193,3.193,0.396
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.800,2.485,2.435,2.465,2.516,2.524,2.524,2.524,2.524,2.524,0.402
35,0.400,2.441,2.412,2.412,2.469,2.469,2.469,2.469,2.469,2.469,0.410
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,3.200,2.480,2.287,2.427,2.497,2.573,2.676,2.699,2.699,2.699,0.403
55,2.200,2.501,2.347,2.362,2.399,2.674,2.716,2.845,2.845,2.845,0.400
