Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.200,2.921,2.506,2.685,2.791,2.976,3.483,3.978,4.494,4.494,0.342
5,13.000,3.190,2.485,2.655,2.774,3.017,4.897,5.750,7.260,7.260,0.313
10,10.400,2.815,2.478,2.627,2.702,2.856,3.223,3.630,3.914,3.914,0.355
15,12.000,2.783,2.385,2.552,2.717,2.889,3.218,3.646,4.019,4.019,0.359
20,10.400,4.771,2.515,2.632,2.768,2.891,3.128,3.582,105.270,105.270,0.210
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,4.400,2.781,2.403,2.605,2.803,2.852,2.975,3.037,3.783,3.783,0.360
35,5.800,2.912,2.460,2.653,2.781,3.005,3.612,3.701,4.186,4.186,0.343
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,9.000,2.734,2.457,2.614,2.728,2.859,2.962,2.977,3.253,3.253,0.366
55,7.200,2.688,2.482,2.578,2.681,2.792,2.845,3.017,3.174,3.174,0.372
