Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,35.800,4.879,1.547,4.121,4.692,5.424,6.279,7.649,8.917,10.839,0.205
5,27.800,5.123,1.934,4.134,4.771,5.800,7.009,7.782,8.670,9.277,0.195
10,26.000,4.745,1.355,4.043,4.641,5.504,6.741,7.157,8.808,8.984,0.211
15,25.800,4.470,1.421,3.871,4.476,5.182,5.974,6.187,6.986,7.132,0.224
20,19.400,4.827,1.542,3.841,4.708,5.636,6.808,7.140,9.176,9.176,0.207
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,7.600,4.426,1.442,3.861,4.312,5.280,6.272,6.493,7.392,7.392,0.226
35,11.400,4.655,1.519,4.056,4.441,5.211,6.535,6.860,7.350,7.350,0.215
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,24.000,4.510,1.442,3.877,4.483,5.198,6.277,6.856,7.497,7.956,0.222
55,19.000,4.297,1.388,3.672,4.181,5.228,5.772,6.548,7.725,7.725,0.233
