Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.800,0.004,0.001,0.002,0.002,0.003,0.008,0.016,0.028,0.028,244.156
5,13.800,0.003,0.001,0.002,0.002,0.003,0.004,0.004,0.008,0.008,389.831
10,17.200,0.002,0.000,0.001,0.002,0.002,0.002,0.002,0.003,0.003,569.536
15,17.400,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.015,0.015,743.590
20,8.600,0.002,0.000,0.001,0.001,0.002,0.002,0.002,0.022,0.022,544.304
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,4.200,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.002,1000.000
35,7.200,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.003,923.077
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,12.400,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,738.095
55,6.800,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,944.444
