Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.600,2.468,2.104,2.239,2.367,2.565,2.675,3.611,3.997,3.997,0.405
5,6.800,2.736,2.071,2.240,2.432,2.666,3.428,5.953,6.769,6.769,0.365
10,11.400,2.420,2.006,2.246,2.350,2.501,2.776,3.212,3.538,3.538,0.413
15,10.600,2.313,2.044,2.152,2.259,2.447,2.590,2.749,2.943,2.943,0.432
20,5.800,2.470,2.108,2.268,2.409,2.495,3.161,3.424,3.563,3.563,0.405
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,2.800,2.268,2.084,2.130,2.268,2.364,2.425,2.568,2.568,2.568,0.441
35,3.000,2.370,2.099,2.165,2.346,2.413,2.528,3.240,3.240,3.240,0.422
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,7.800,2.430,2.003,2.121,2.284,2.507,2.640,2.723,6.602,6.602,0.412
55,3.800,2.349,2.108,2.201,2.290,2.509,2.640,2.641,2.641,2.641,0.426
