Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,357.800,2.797,0.001,0.573,0.649,3.027,4.481,6.045,18.859,849.023,0.358
5,308.600,3.232,0.001,0.570,0.634,3.105,7.549,17.891,19.184,23.206,0.309
10,292.600,3.419,0.000,0.563,0.615,3.010,17.535,17.861,18.325,19.405,0.292
15,269.000,3.714,0.000,0.553,0.608,3.013,17.603,18.223,19.078,201.911,0.269
20,200.200,13.160,0.000,0.568,0.629,3.431,17.950,18.370,19.203,8980.778,0.076
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,81.800,4.443,0.000,0.568,0.636,3.921,17.887,18.059,18.346,19.336,0.225
35,121.200,25.170,0.000,0.561,0.623,3.957,18.023,18.469,19.244,11918.285,0.040
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,231.800,4.096,0.000,0.565,0.634,3.572,18.171,18.770,19.443,20.140,0.244
55,185.600,5.363,0.000,0.560,0.621,3.977,17.864,18.073,18.899,403.418,0.186
