Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,442,442.000,2,605,733,2262,3295,4692,5503,18857,21782
1,468,468.000,2,570,635,2154,3027,4229,5416,19289,19939
2,53,53.000,2,565,612,18700,3369,6157,18541,849023,849023
3,427,427.000,1,558,604,2328,2943,4306,8200,18736,19051
4,399,399.000,2,574,625,2530,2921,4309,17621,18408,19176
5,308,308.000,1,575,673,3213,3121,6788,18854,19536,20790
6,353,353.000,2,558,600,2861,3024,6766,18035,21692,23206
7,289,289.000,1,583,647,3412,3149,17633,17905,18513,19108
8,295,295.000,2,568,625,3390,3229,17420,17754,18342,19540
9,298,298.000,1,576,631,3354,3006,17561,17753,18122,18404
10,317,317.000,0,571,626,3165,2958,17408,17755,18129,19405
11,290,290.000,1,561,618,3482,2857,17550,17895,18325,18536
12,265,265.000,1,573,815,3712,3275,17639,17880,18317,18421
13,306,306.000,1,554,594,3265,2912,17489,17845,18415,19057
14,285,285.000,1,561,612,3529,3135,17556,17894,18645,19296
15,335,335.000,0,544,596,2962,2914,6919,17691,18484,18908
16,324,324.000,0,549,582,3123,2619,17389,17783,18264,18527
17,234,234.000,0,563,629,4222,4048,17649,17852,18408,18887
18,215,215.000,0,553,640,4862,3218,18237,18537,19317,201911
19,237,237.000,1,571,657,4040,3568,18574,19010,19563,20128
20,274,274.000,0,561,605,3681,2998,18503,18752,19280,19449
21,241,241.000,0,574,642,4085,3131,17854,18170,19901,105270
22,219,219.000,0,570,641,4630,3622,17796,17975,18440,202558
23,242,242.000,1,570,653,4059,3911,17832,18117,18391,18838
24,25,25.000,1,603,3363,367337,18087,18320,18345,8980778,8980778
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,215,215.000,1,561,623,3856,2975,17735,18025,18459,19336
34,194,194.000,0,573,753,5093,5280,17942,18122,18346,18347
35,143,143.000,0,565,636,7053,4241,18368,18765,19349,403210
36,217,217.000,0,557,613,4567,3976,18262,18716,19017,19407
37,157,157.000,1,566,614,6423,3704,17866,17993,19964,402849
38,89,89.000,0,554,598,137578,2952,17947,18055,11918285,11918285
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,206,206.000,0,553,609,3657,2740,19033,19443,19881,20140
51,216,216.000,0,568,712,4662,4691,18615,18849,19146,19406
52,249,249.000,1,574,642,3954,3535,18411,18854,19357,19862
53,241,241.000,1,566,658,4185,3756,17719,17891,18235,18492
54,247,247.000,1,559,631,4020,3236,17947,18142,18445,19295
55,213,213.000,0,561,663,4680,4459,17863,18078,18437,18516
56,215,215.000,0,558,600,5574,3126,17685,17865,18544,403314
57,175,175.000,1,562,614,4665,4147,17880,18107,18541,19508
58,210,210.000,1,563,640,4758,4181,17915,18120,21003,22326
59,115,115.000,1,560,653,8393,4860,17938,18178,19706,403418
