Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.400,337.437,4.977,27.442,294.652,539.114,806.549,850.002,1014.337,1014.337,0.003
5,11.600,12.984,4.572,8.237,11.383,16.079,21.453,25.683,39.943,39.943,0.077
10,12.600,17.192,5.102,9.228,13.663,20.940,25.643,26.967,85.425,85.425,0.058
15,11.800,14.933,4.588,8.879,13.772,18.536,22.993,23.451,88.595,88.595,0.067
20,13.200,13.117,4.775,8.017,12.583,15.721,20.035,23.532,65.786,65.786,0.076
25,10.600,15.584,4.957,12.100,14.962,18.534,21.602,25.231,27.407,27.407,0.064
30,11.200,11.730,4.215,8.152,12.301,15.170,18.197,20.755,25.517,25.517,0.085
35,11.200,11.426,4.544,7.338,12.016,14.694,19.258,21.021,21.980,21.980,0.088
40,11.600,17.011,5.429,10.362,13.369,18.441,25.651,46.988,87.111,87.111,0.059
45,11.800,15.934,4.322,9.961,14.735,17.643,21.382,23.695,82.462,82.462,0.063
50,9.200,11.960,4.455,7.089,12.539,15.833,19.179,19.845,26.379,26.379,0.084
55,11.800,13.350,4.247,8.690,14.228,16.762,20.124,24.502,28.303,28.303,0.075
60,9.000,20.433,6.484,11.449,15.134,19.335,28.561,84.661,104.363,104.363,0.049
65,12.800,14.018,4.272,8.665,11.809,17.372,19.663,22.219,77.443,77.443,0.071
70,12.800,15.560,3.949,8.630,13.092,17.484,23.036,34.407,80.652,80.652,0.064
75,11.800,12.000,4.488,6.645,11.380,15.143,20.838,24.938,36.744,36.744,0.083
80,11.600,12.433,4.462,9.169,13.254,16.044,17.493,21.807,23.545,23.545,0.080
85,13.200,14.700,3.795,7.073,10.268,15.758,19.897,59.552,89.376,89.376,0.068
90,14.800,11.500,3.811,6.504,9.835,15.929,18.839,23.690,33.411,33.411,0.087
95,12.400,17.203,4.480,13.993,15.822,20.594,24.637,26.055,40.631,40.631,0.058
100,13.200,11.903,3.864,7.002,10.348,16.187,18.536,22.737,27.984,27.984,0.084
105,12.400,13.401,4.089,7.730,10.979,15.277,19.461,23.049,71.355,71.355,0.075
110,11.600,12.186,4.670,7.972,11.700,15.602,21.340,23.701,29.350,29.350,0.082
115,13.800,11.581,4.032,7.440,9.813,14.271,17.105,22.540,58.865,58.865,0.086
120,11.200,15.674,4.600,9.242,14.699,19.240,26.805,30.900,38.207,38.207,0.064
125,11.400,12.668,4.038,8.077,10.823,16.641,20.804,22.518,28.284,28.284,0.079
130,14.000,13.645,3.574,9.558,13.357,16.249,20.903,25.689,31.041,31.041,0.073
135,11.600,11.261,3.962,7.537,10.402,14.526,18.895,21.180,22.214,22.214,0.089
140,12.400,11.744,4.353,8.242,11.394,14.495,18.069,20.073,23.591,23.591,0.085
145,8.200,12.422,4.082,6.789,11.393,15.828,18.903,21.189,40.359,40.359,0.081
150,14.000,13.677,4.916,8.002,12.485,16.460,18.885,23.776,101.831,101.831,0.073
155,11.600,13.166,3.924,8.889,12.009,15.401,22.636,25.093,51.679,51.679,0.076
160,14.600,11.338,3.629,8.110,10.509,14.931,17.310,20.378,26.550,26.550,0.088
165,10.000,20.696,5.074,11.055,16.242,24.351,36.318,69.631,85.937,85.937,0.048
170,12.000,16.402,4.095,10.654,14.468,16.755,20.419,67.157,86.404,86.404,0.061
175,10.600,18.172,4.718,8.303,12.895,16.504,27.863,73.074,113.105,113.105,0.055
180,10.800,16.204,4.174,9.170,13.281,17.376,24.208,39.429,99.168,99.168,0.062
185,13.600,16.612,4.215,9.665,16.185,21.173,23.419,26.256,76.958,76.958,0.060
190,13.400,12.265,4.095,8.652,12.300,14.968,18.655,20.468,31.349,31.349,0.082
195,13.600,12.548,4.232,8.122,12.301,15.175,17.061,18.750,79.867,79.867,0.080
200,12.400,15.146,4.607,9.343,14.563,18.737,22.642,27.452,43.288,43.288,0.066
205,10.800,12.410,3.926,6.988,10.851,15.849,21.210,22.433,60.111,60.111,0.081
210,12.000,11.321,3.902,7.945,10.991,15.261,17.243,19.824,23.357,23.357,0.088
215,12.600,15.332,3.961,7.957,12.916,16.253,18.725,23.805,104.335,104.335,0.065
220,11.000,11.928,3.911,7.695,9.529,13.618,16.813,21.663,84.940,84.940,0.084
225,11.600,13.503,4.186,8.403,11.135,14.381,21.029,30.599,82.000,82.000,0.074
230,10.200,11.812,3.591,7.905,11.715,15.714,17.933,19.528,23.948,23.948,0.085
235,9.000,14.666,4.398,8.081,14.112,20.028,24.762,28.602,34.299,34.299,0.068
240,11.600,13.412,3.653,6.631,9.577,17.377,22.550,33.730,78.084,78.084,0.075
245,10.600,19.070,4.127,9.185,14.331,20.558,30.264,37.400,120.406,120.406,0.052
250,11.000,12.139,4.254,8.056,12.535,15.076,19.538,20.696,25.224,25.224,0.082
255,13.800,12.444,3.589,6.871,11.759,15.750,22.463,27.201,30.816,30.816,0.080
260,10.800,11.576,4.034,6.815,10.721,13.480,15.472,17.236,72.504,72.504,0.086
265,10.400,10.510,3.934,6.302,9.684,14.129,16.722,19.079,22.434,22.434,0.095
270,16.200,14.646,4.090,11.575,14.514,18.332,20.709,22.922,32.276,32.276,0.068
275,10.000,15.918,4.064,9.342,14.184,17.710,24.658,26.147,92.351,92.351,0.063
280,9.400,14.387,4.803,8.795,12.556,17.672,23.459,26.701,54.922,54.922,0.070
285,12.600,13.470,4.474,7.378,11.680,15.627,18.699,22.975,75.290,75.290,0.074
290,9.800,13.880,4.183,7.287,12.523,16.506,21.568,26.368,75.927,75.927,0.072
295,11.200,12.618,4.009,8.376,11.032,15.571,21.296,21.979,54.181,54.181,0.079
300,12.000,13.926,3.986,8.956,11.687,16.776,19.656,26.233,92.024,92.024,0.072
305,11.400,16.431,5.865,10.485,13.745,17.702,26.618,29.157,73.959,73.959,0.061
310,13.000,14.295,4.337,9.222,13.939,18.303,24.003,25.973,29.223,29.223,0.070
315,8.000,15.985,4.025,8.643,14.310,20.829,26.468,50.100,54.914,54.914,0.063
320,13.000,11.604,3.861,8.617,10.984,13.859,18.593,19.348,25.417,25.417,0.086
325,11.800,14.721,5.377,7.809,13.851,17.502,21.924,23.422,93.278,93.278,0.068
330,12.800,12.071,4.101,7.936,11.350,14.826,19.292,23.280,25.080,25.080,0.083
335,13.000,13.208,4.604,8.076,12.720,15.727,17.999,23.194,86.991,86.991,0.076
340,12.400,13.642,3.838,9.673,12.780,14.916,17.036,21.150,88.415,88.415,0.073
345,9.000,16.478,3.852,10.417,14.733,17.403,27.656,35.970,62.775,62.775,0.061
350,12.400,11.719,4.474,8.163,10.926,13.907,18.551,22.253,26.984,26.984,0.085
355,12.400,11.660,4.203,7.322,10.836,15.464,19.396,22.110,22.884,22.884,0.086
360,12.800,15.827,4.105,10.268,15.186,20.568,26.756,29.933,37.197,37.197,0.063
365,12.000,13.727,3.731,9.191,13.065,16.757,22.703,28.977,31.685,31.685,0.073
370,12.400,12.971,4.219,8.412,12.751,16.762,20.333,22.226,26.312,26.312,0.077
375,13.400,12.443,3.771,8.695,10.831,15.642,20.047,25.425,36.856,36.856,0.080
380,14.600,12.965,3.417,8.012,12.338,16.333,20.918,23.136,38.162,38.162,0.077
385,11.400,12.705,4.046,8.013,11.563,14.629,18.118,20.742,79.943,79.943,0.079
390,12.000,14.107,4.238,9.456,12.035,15.125,19.454,26.660,92.893,92.893,0.071
395,12.800,12.973,4.679,7.378,13.015,16.554,21.533,22.853,32.722,32.722,0.077
400,14.800,17.158,4.283,8.017,13.220,18.042,24.673,69.072,93.763,93.763,0.058
405,11.800,13.267,4.324,7.552,12.893,16.093,19.852,22.760,75.641,75.641,0.075
410,13.400,15.845,4.883,10.784,13.886,19.555,23.105,24.903,76.521,76.521,0.063
415,12.600,16.224,4.375,10.134,14.390,17.237,22.727,25.743,95.500,95.500,0.062
420,12.200,11.071,4.702,7.140,9.540,14.404,19.484,20.246,21.307,21.307,0.090
425,12.200,16.646,4.279,9.140,12.634,17.607,24.453,30.280,90.182,90.182,0.060
430,13.800,13.636,3.921,8.313,11.778,16.244,20.682,21.917,104.932,104.932,0.073
435,11.000,10.065,3.789,7.109,9.041,12.527,15.515,20.725,22.768,22.768,0.099
440,11.000,12.352,3.962,7.337,10.487,14.477,21.317,24.317,62.656,62.656,0.081
445,12.200,14.848,4.023,9.088,14.394,19.012,22.613,25.198,43.097,43.097,0.067
450,15.400,13.037,4.203,6.952,10.838,14.630,22.631,27.568,105.080,105.080,0.077
455,12.400,12.926,3.901,7.245,12.008,15.277,18.377,26.418,68.131,68.131,0.077
460,14.400,11.075,3.723,7.258,10.150,14.839,17.428,20.506,25.869,25.869,0.090
465,13.400,12.609,3.637,8.610,11.815,16.405,20.797,23.779,27.679,27.679,0.079
470,14.000,12.681,3.998,7.198,10.394,14.892,20.233,22.352,79.065,79.065,0.079
475,10.600,15.935,4.092,7.211,12.324,15.136,20.269,24.777,221.020,221.020,0.063
480,11.000,14.821,5.681,9.744,12.967,17.073,24.734,32.180,43.547,43.547,0.067
485,15.000,20.014,4.364,9.225,14.846,19.988,31.518,83.436,102.957,102.957,0.050
490,12.600,11.149,4.061,6.985,9.966,15.305,18.311,18.877,21.438,21.438,0.090
495,12.000,10.783,4.484,7.490,10.414,13.724,17.337,19.217,20.673,20.673,0.093
500,12.800,11.703,3.730,8.186,11.294,14.985,19.065,21.395,27.025,27.025,0.085
505,9.400,11.863,3.993,5.717,11.121,17.023,20.987,22.829,24.406,24.406,0.084
510,11.800,13.409,4.110,8.504,12.698,17.835,23.689,25.057,28.543,28.543,0.075
515,9.200,11.699,4.522,7.380,10.994,13.614,16.756,18.156,50.619,50.619,0.085
520,13.400,13.892,4.799,10.099,12.804,16.202,22.053,24.499,51.922,51.922,0.072
525,9.400,12.138,3.922,8.548,11.453,15.855,17.359,19.122,21.221,21.221,0.082
530,10.600,11.892,3.839,6.079,9.340,13.634,20.311,21.562,91.188,91.188,0.084
535,10.400,14.351,4.612,7.936,12.154,18.134,20.997,24.894,97.397,97.397,0.070
540,12.800,16.368,3.757,8.519,11.768,17.244,21.274,31.854,126.575,126.575,0.061
545,11.800,17.475,4.317,9.924,15.293,19.661,24.087,33.969,94.927,94.927,0.057
550,10.400,14.345,4.767,9.306,14.404,18.327,21.571,29.307,39.425,39.425,0.070
555,11.400,15.743,3.987,9.462,14.047,19.368,23.909,27.245,69.288,69.288,0.064
560,12.000,11.258,4.425,8.342,10.350,13.618,16.484,19.430,30.113,30.113,0.089
565,8.600,15.545,3.746,10.224,13.785,19.882,24.951,32.369,48.510,48.510,0.064
570,13.200,11.270,3.788,6.793,10.478,15.911,17.863,21.354,22.262,22.262,0.089
575,11.200,11.553,4.107,6.781,10.558,14.003,18.061,19.904,69.063,69.063,0.087
580,13.800,12.394,3.920,8.886,12.654,15.974,18.240,20.332,25.714,25.714,0.081
585,9.600,13.800,4.398,9.036,12.613,17.699,21.863,23.427,34.066,34.066,0.072
590,10.200,12.553,5.071,8.101,12.236,15.465,19.740,23.882,25.322,25.322,0.080
595,9.800,11.620,3.988,8.546,10.772,14.065,17.269,22.926,26.410,26.410,0.086
