Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,136.000,325.107,4.765,72.024,303.481,510.590,688.119,803.944,966.857,1093.421,0.003
5,134.200,9.911,4.666,8.266,9.515,11.123,13.338,14.959,16.946,18.952,0.101
10,131.400,10.637,4.947,8.335,9.501,11.377,13.723,15.706,42.305,78.631,0.094
15,133.800,11.020,3.503,8.127,9.382,11.673,14.580,17.247,58.945,91.636,0.091
20,138.600,10.010,3.133,7.968,9.088,10.553,13.004,14.838,42.786,78.802,0.100
25,136.000,12.557,2.791,9.454,12.211,15.297,17.240,19.643,23.931,27.911,0.080
30,132.800,9.710,2.359,7.723,8.905,10.379,12.589,14.610,29.075,78.749,0.103
35,134.400,9.933,2.868,8.159,9.229,11.320,13.429,15.519,20.182,32.944,0.101
40,139.800,14.737,2.328,9.353,10.996,13.725,19.945,43.026,81.715,90.303,0.068
45,132.400,13.248,3.029,8.761,10.086,12.369,15.276,25.189,80.740,215.176,0.075
50,132.600,11.462,2.876,8.551,9.771,11.663,14.434,16.668,65.081,95.104,0.087
55,138.600,12.961,4.270,8.621,9.994,11.895,15.117,18.260,100.686,140.813,0.077
60,138.400,14.536,4.061,10.258,13.008,16.171,18.572,21.751,74.998,101.099,0.069
65,128.800,11.248,3.389,8.658,10.351,12.520,15.659,17.661,33.778,74.166,0.089
70,133.800,11.079,2.544,8.228,9.519,11.662,14.225,17.639,51.089,86.579,0.090
75,129.200,10.199,2.509,7.869,9.142,10.902,13.300,14.846,39.415,79.061,0.098
80,134.800,10.675,4.633,8.331,9.499,11.716,13.995,16.099,43.632,73.394,0.094
85,134.200,10.873,4.457,8.045,9.528,11.275,13.739,15.593,62.839,87.580,0.092
90,134.000,10.476,2.730,8.170,9.489,11.669,13.865,15.497,40.233,79.822,0.095
95,135.000,13.293,2.543,9.629,12.560,15.670,18.440,20.537,34.145,70.460,0.075
100,136.400,10.915,3.418,8.150,9.315,11.117,13.702,15.981,62.579,82.365,0.092
105,131.200,10.207,3.089,7.652,9.083,11.080,13.088,14.843,57.954,90.737,0.098
110,137.800,9.701,2.650,8.043,9.052,10.713,12.723,13.886,21.241,54.316,0.103
115,127.400,10.181,2.471,7.918,9.173,10.884,13.371,15.090,45.590,75.250,0.098
120,136.000,15.490,2.377,9.286,13.037,19.267,25.157,29.640,51.400,120.656,0.065
125,131.200,10.579,3.044,8.602,9.989,12.259,14.686,16.207,20.237,23.681,0.095
130,130.800,11.211,3.764,8.159,9.743,12.951,16.702,18.789,23.652,216.139,0.089
135,133.400,9.551,2.540,7.911,9.146,11.099,12.682,13.651,16.552,23.895,0.105
140,135.000,9.150,2.646,7.594,8.847,10.154,12.068,13.755,16.746,26.798,0.109
145,132.400,9.856,2.314,7.940,9.197,10.604,12.702,14.580,16.436,229.953,0.101
150,132.200,10.798,2.676,8.126,9.456,11.341,14.098,16.397,52.168,88.307,0.093
155,125.000,9.963,2.363,7.640,9.061,10.877,13.422,15.205,19.520,84.400,0.100
160,140.200,9.458,2.816,7.647,8.960,10.646,13.185,14.681,17.096,20.504,0.106
165,140.000,17.971,3.216,9.541,13.658,18.330,25.882,60.679,92.104,116.049,0.056
170,130.600,12.320,2.497,8.665,10.036,12.322,14.999,18.860,73.897,86.994,0.081
175,130.600,11.948,3.295,8.367,9.640,11.534,14.363,17.376,80.092,111.410,0.084
180,138.800,12.525,3.012,8.621,9.995,12.168,14.895,17.519,84.276,102.291,0.080
185,138.000,12.773,2.851,9.241,11.160,13.980,17.537,20.717,64.331,91.874,0.078
190,120.600,10.439,3.010,8.306,9.598,11.444,13.582,15.321,28.172,73.235,0.096
195,130.000,10.482,2.901,7.900,9.174,10.735,12.977,14.706,69.613,89.364,0.095
200,127.000,13.436,2.951,9.973,12.867,15.708,18.108,20.303,36.991,79.852,0.074
205,131.400,10.798,2.989,8.255,9.455,11.201,14.097,16.201,53.599,86.630,0.093
210,133.400,10.643,3.157,8.196,9.295,11.210,13.435,15.509,60.405,83.320,0.094
215,138.800,10.598,2.756,8.079,9.296,10.855,13.121,14.567,51.405,231.084,0.094
220,128.200,9.816,3.094,7.859,9.155,10.611,12.570,14.212,25.395,78.124,0.102
225,140.400,10.246,2.986,7.874,9.221,10.972,13.106,15.109,38.915,88.847,0.098
230,141.400,10.771,2.636,8.115,9.294,11.489,14.058,16.539,50.702,80.374,0.093
235,139.200,12.980,2.594,8.856,12.013,15.122,17.875,20.174,56.518,92.835,0.077
240,142.000,11.084,4.671,7.706,9.015,10.604,13.300,16.766,68.228,222.726,0.090
245,131.800,15.333,4.393,9.307,11.879,16.491,24.954,31.960,86.252,117.126,0.065
250,135.800,10.571,3.077,8.087,9.347,11.352,14.796,19.177,33.245,57.009,0.095
255,134.400,9.074,2.469,7.431,8.687,10.320,12.188,13.178,16.123,26.091,0.110
260,132.800,9.828,2.804,7.993,9.165,10.837,12.629,14.531,26.061,66.300,0.102
265,135.400,9.296,2.778,7.770,8.961,10.299,12.343,13.898,16.913,27.182,0.108
