Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.200,50.955,1.098,24.843,43.852,74.769,95.594,119.946,176.104,176.104,0.020
5,10.600,1.490,1.122,1.354,1.423,1.634,1.801,1.954,2.060,2.060,0.671
10,11.800,1.506,1.050,1.319,1.400,1.661,2.024,2.272,2.295,2.295,0.664
15,15.200,1.480,1.091,1.256,1.383,1.618,1.942,2.079,2.783,2.783,0.676
20,13.000,1.455,1.025,1.244,1.375,1.574,1.884,2.038,3.109,3.109,0.687
25,13.400,1.380,0.967,1.184,1.314,1.527,1.767,1.969,2.156,2.156,0.725
30,11.000,1.373,0.959,1.161,1.310,1.452,1.744,2.076,2.613,2.613,0.728
35,10.200,1.368,0.940,1.187,1.290,1.527,1.687,1.819,1.960,1.960,0.731
40,12.400,1.332,0.930,1.131,1.287,1.446,1.648,1.926,2.388,2.388,0.751
45,9.000,1.333,0.964,1.152,1.251,1.435,1.813,1.947,2.182,2.182,0.750
50,14.400,1.268,0.787,1.118,1.198,1.405,1.565,1.725,2.096,2.096,0.789
55,11.400,1.232,0.740,1.067,1.165,1.374,1.659,1.828,1.948,1.948,0.812
60,12.200,1.220,0.863,1.028,1.180,1.363,1.504,1.658,2.410,2.410,0.820
65,16.400,1.287,0.752,1.083,1.215,1.416,1.691,1.839,2.488,2.488,0.777
70,14.000,1.226,0.832,1.033,1.148,1.296,1.636,1.682,2.605,2.605,0.816
75,13.600,1.189,0.711,0.990,1.123,1.335,1.575,1.832,2.249,2.249,0.841
80,13.200,1.209,0.713,0.997,1.168,1.375,1.657,1.741,2.268,2.268,0.827
85,11.800,1.165,0.764,0.967,1.108,1.341,1.470,1.636,2.239,2.239,0.859
90,12.600,1.144,0.760,0.964,1.101,1.233,1.403,1.573,2.423,2.423,0.874
95,11.200,1.113,0.798,0.910,1.029,1.235,1.508,1.584,2.750,2.750,0.899
100,9.800,1.155,0.726,0.942,1.056,1.248,1.608,1.816,2.215,2.215,0.866
105,13.200,1.093,0.692,0.930,1.076,1.183,1.403,1.547,2.137,2.137,0.915
110,12.400,1.034,0.702,0.870,0.981,1.146,1.329,1.463,1.714,1.714,0.967
115,12.000,1.111,0.663,0.960,1.094,1.289,1.418,1.747,2.053,2.053,0.900
120,11.800,1.049,0.774,0.883,1.020,1.176,1.258,1.393,2.210,2.210,0.953
125,10.000,1.215,0.766,1.076,1.197,1.287,1.508,1.617,2.266,2.266,0.823
130,10.000,1.142,0.707,0.927,1.073,1.210,1.688,1.732,2.227,2.227,0.876
135,11.600,1.049,0.642,0.888,1.027,1.115,1.297,1.543,2.178,2.178,0.954
140,9.000,1.016,0.668,0.790,0.902,1.045,1.504,1.778,3.062,3.062,0.984
145,13.200,1.070,0.667,0.845,0.982,1.211,1.396,1.835,2.251,2.251,0.935
150,12.000,1.051,0.653,0.836,1.006,1.206,1.490,1.600,1.855,1.855,0.952
155,12.800,1.030,0.591,0.830,0.964,1.178,1.416,1.431,2.704,2.704,0.971
160,13.400,1.004,0.672,0.824,0.918,1.047,1.483,1.563,1.915,1.915,0.996
165,13.800,1.004,0.634,0.845,0.930,1.096,1.269,1.551,2.466,2.466,0.996
170,11.800,1.039,0.651,0.841,0.995,1.211,1.388,1.530,1.618,1.618,0.963
175,12.400,0.944,0.663,0.794,0.881,1.029,1.277,1.357,1.965,1.965,1.059
180,10.200,0.997,0.655,0.826,0.969,1.126,1.243,1.483,1.573,1.573,1.003
185,10.600,1.220,0.686,0.869,0.990,1.447,1.970,2.394,3.093,3.093,0.820
190,11.000,1.197,0.725,1.034,1.123,1.379,1.618,1.735,1.825,1.825,0.836
