Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,128.200,140.137,3.977,37.543,102.822,227.753,317.950,375.356,435.096,526.319,0.007
5,130.600,5.090,3.668,4.552,4.930,5.500,6.055,6.516,7.695,9.399,0.196
10,132.000,5.205,3.515,4.204,4.613,5.227,5.862,6.357,12.593,81.977,0.192
15,127.400,5.493,3.622,4.230,4.602,5.156,5.935,6.786,35.390,75.124,0.182
20,125.600,5.770,3.587,4.100,4.440,4.901,5.541,6.124,42.031,213.131,0.173
25,128.600,7.907,3.597,4.775,7.961,10.318,12.222,13.368,15.059,22.702,0.126
30,136.200,5.094,3.368,4.037,4.364,4.810,5.391,5.831,45.839,65.498,0.196
35,132.000,4.688,3.504,4.055,4.401,4.924,5.525,5.992,9.447,29.374,0.213
40,126.000,8.271,3.605,4.475,5.262,6.258,8.709,29.653,73.642,83.455,0.121
45,135.200,7.794,3.671,4.443,5.029,5.748,7.217,28.477,71.028,86.073,0.128
50,130.400,6.141,3.318,4.218,4.755,5.414,6.155,7.085,56.614,84.913,0.163
55,127.200,7.730,3.631,4.375,4.881,5.607,6.607,12.137,91.215,137.113,0.129
60,126.200,9.172,3.657,5.154,8.248,10.649,12.809,14.380,61.488,91.242,0.109
65,131.800,5.771,3.363,4.366,4.892,5.683,6.875,7.627,30.813,70.908,0.173
70,128.600,6.128,3.418,4.183,4.615,5.223,5.992,7.288,60.086,83.580,0.163
75,132.000,5.331,3.603,4.102,4.527,5.050,5.727,6.502,36.033,75.576,0.188
80,128.400,4.961,3.613,4.106,4.545,5.080,5.711,6.172,9.818,69.952,0.202
85,127.800,6.022,3.223,4.164,4.610,5.142,5.930,7.017,51.575,84.194,0.166
90,127.000,5.595,3.482,4.121,4.562,5.130,5.836,6.859,33.467,72.947,0.179
95,129.400,8.907,3.594,4.799,7.097,10.502,12.954,14.295,73.663,96.656,0.112
100,130.000,5.525,3.382,4.128,4.508,5.103,5.781,6.753,40.131,52.999,0.181
105,130.800,4.857,3.362,3.979,4.375,4.949,5.612,6.109,15.281,81.148,0.206
110,125.800,4.895,3.509,4.054,4.422,4.947,5.691,6.275,14.700,48.068,0.204
115,132.600,5.518,3.474,4.125,4.635,5.347,6.058,6.533,35.562,88.545,0.181
120,126.200,10.835,3.361,4.545,7.541,13.659,18.368,21.673,83.911,114.126,0.092
125,135.400,4.967,3.405,4.217,4.728,5.423,6.279,6.968,8.380,11.278,0.201
130,130.400,6.241,3.244,4.310,4.852,6.548,10.929,12.501,16.936,29.977,0.160
135,133.800,5.154,3.365,4.044,4.362,4.867,5.407,5.793,6.528,215.255,0.194
140,132.000,4.670,3.446,3.995,4.332,4.875,5.399,5.931,9.100,29.983,0.214
145,137.000,4.691,3.577,4.093,4.548,5.084,5.646,6.116,7.331,8.676,0.213
150,128.400,5.265,3.568,4.142,4.571,5.185,5.843,6.411,26.012,68.377,0.190
155,137.600,5.267,3.354,4.020,4.426,4.986,5.739,6.305,34.652,78.207,0.190
160,120.800,4.591,3.553,4.018,4.384,4.981,5.696,6.014,7.120,11.815,0.218
165,124.400,12.190,3.645,4.846,7.424,12.313,17.281,42.209,102.261,111.825,0.082
170,134.200,6.871,3.582,4.365,4.970,5.724,7.031,9.349,63.916,82.718,0.146
175,134.600,7.550,3.490,4.383,4.899,5.645,6.617,8.659,96.624,109.810,0.132
180,130.200,6.899,3.609,4.345,4.888,5.563,6.462,9.120,66.243,87.271,0.145
185,125.400,7.129,3.669,4.700,5.315,6.250,7.986,10.487,60.566,85.413,0.140
190,141.600,5.502,3.552,4.296,4.740,5.359,6.083,6.662,30.049,69.830,0.182
195,134.400,5.498,3.290,4.117,4.565,5.098,5.859,6.435,47.153,86.153,0.182
200,133.400,8.832,3.484,5.053,7.201,10.437,12.570,14.334,56.979,76.578,0.113
205,137.200,5.641,3.472,4.205,4.742,5.401,6.427,7.549,23.739,89.790,0.177
210,127.200,6.357,3.494,4.149,4.598,5.202,5.985,6.870,56.792,223.698,0.157
215,124.000,5.209,3.165,4.051,4.501,5.123,5.974,6.694,14.892,94.409,0.192
