Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.400,109.040,2.053,3.784,121.464,172.547,217.665,289.770,392.444,392.444,0.009
5,13.000,2.833,1.739,2.176,2.647,3.333,3.933,4.256,4.709,4.709,0.353
10,12.200,2.581,1.713,2.230,2.551,2.814,3.167,3.476,3.959,3.959,0.387
15,11.800,2.508,1.823,2.217,2.410,2.801,3.096,3.287,3.435,3.435,0.399
20,9.600,2.522,1.654,2.249,2.437,2.766,3.090,3.251,3.524,3.524,0.396
25,11.400,2.405,1.713,2.091,2.447,2.646,2.806,2.948,3.840,3.840,0.416
30,8.800,2.393,1.820,2.144,2.288,2.558,2.799,3.178,3.540,3.540,0.418
35,12.200,2.458,1.797,2.144,2.473,2.767,2.963,3.033,3.145,3.145,0.407
40,10.200,6.670,1.566,2.361,2.649,3.053,3.366,4.008,205.056,205.056,0.150
45,11.600,2.447,1.737,2.161,2.477,2.712,2.981,3.040,3.343,3.343,0.409
50,13.400,2.416,1.626,2.111,2.384,2.641,3.075,3.303,3.481,3.481,0.414
55,11.000,2.426,1.700,2.147,2.383,2.651,2.910,3.239,3.803,3.803,0.412
60,14.200,2.377,1.638,2.086,2.316,2.610,2.882,3.029,3.199,3.199,0.421
65,10.200,2.562,1.764,2.211,2.428,2.829,3.153,3.254,5.723,5.723,0.390
70,10.800,2.369,1.702,1.983,2.356,2.695,2.810,3.014,3.958,3.958,0.422
75,13.400,2.326,1.646,2.041,2.294,2.554,2.798,3.041,3.270,3.270,0.430
80,12.000,2.327,1.688,2.005,2.341,2.608,2.710,2.977,3.142,3.142,0.430
85,13.000,2.249,1.737,1.995,2.191,2.423,2.730,2.835,3.926,3.926,0.445
90,11.600,2.321,1.730,2.060,2.208,2.541,2.916,2.986,3.288,3.288,0.431
95,12.000,2.367,1.707,2.051,2.323,2.624,3.048,3.162,3.194,3.194,0.423
100,10.600,2.431,1.735,2.103,2.381,2.710,2.915,3.308,3.531,3.531,0.411
105,12.400,2.279,1.605,1.955,2.271,2.526,2.795,2.960,3.211,3.211,0.439
110,12.400,2.394,1.720,2.035,2.351,2.705,2.945,3.124,3.636,3.636,0.418
115,14.200,2.267,1.545,2.009,2.241,2.447,2.720,2.862,3.347,3.347,0.441
120,14.800,2.194,1.625,1.876,2.168,2.389,2.638,2.833,3.686,3.686,0.456
125,12.000,2.715,1.755,2.240,2.468,2.843,3.286,5.309,8.523,8.523,0.368
130,14.800,2.329,1.577,2.016,2.316,2.538,2.846,3.014,4.141,4.141,0.429
135,9.600,2.321,1.599,2.066,2.356,2.523,2.830,2.985,3.691,3.691,0.431
140,11.600,2.301,1.474,2.035,2.216,2.596,2.935,3.029,3.346,3.346,0.435
145,9.200,2.363,1.734,2.014,2.246,2.514,3.066,3.177,4.230,4.230,0.423
150,13.400,2.322,1.569,1.990,2.254,2.612,2.924,3.077,3.141,3.141,0.431
155,13.000,2.254,1.656,1.992,2.231,2.452,2.683,2.827,3.424,3.424,0.444
160,11.000,2.274,1.702,1.975,2.264,2.541,2.758,3.014,3.372,3.372,0.440
165,11.800,2.375,1.712,1.992,2.376,2.616,2.878,3.109,4.058,4.058,0.421
170,11.400,2.407,1.611,2.002,2.355,2.732,2.998,3.185,3.451,3.451,0.415
175,11.800,2.257,1.634,1.986,2.231,2.517,2.798,2.992,3.088,3.088,0.443
180,10.000,2.333,1.659,2.043,2.281,2.681,2.894,3.085,3.338,3.338,0.429
185,12.400,3.015,1.644,2.032,2.610,3.131,4.288,5.629,12.130,12.130,0.332
190,13.400,2.375,1.630,2.026,2.294,2.669,3.090,3.205,3.472,3.472,0.421
195,12.000,2.247,1.599,2.042,2.170,2.438,2.777,2.948,3.270,3.270,0.445
200,14.000,2.260,1.479,1.982,2.205,2.432,2.870,2.963,3.338,3.338,0.442
205,9.600,2.243,1.669,1.979,2.202,2.531,2.741,2.955,3.055,3.055,0.446
210,12.600,2.280,1.652,2.055,2.215,2.476,2.768,2.896,2.970,2.970,0.439
215,14.000,2.257,1.689,1.990,2.274,2.469,2.724,2.896,3.159,3.159,0.443
220,11.000,2.382,1.690,2.076,2.317,2.604,3.011,3.109,3.502,3.502,0.420
225,13.800,2.212,1.628,1.972,2.119,2.467,2.752,2.833,3.010,3.010,0.452
230,13.000,2.297,1.567,2.031,2.260,2.565,2.801,2.848,3.243,3.243,0.435
235,10.800,2.257,1.635,1.949,2.174,2.404,2.887,2.955,3.383,3.383,0.443
240,12.000,2.302,1.606,2.048,2.244,2.593,2.714,2.928,3.239,3.239,0.434
245,15.200,2.483,1.576,2.147,2.420,2.752,3.228,3.385,3.854,3.854,0.403
250,10.800,2.263,1.699,2.017,2.145,2.458,2.750,3.039,3.393,3.393,0.442
255,12.800,2.323,1.737,2.068,2.270,2.530,2.833,3.044,3.428,3.428,0.430
260,10.000,2.280,1.578,1.980,2.293,2.558,2.758,2.842,2.873,2.873,0.439
265,10.000,2.373,1.628,2.085,2.366,2.607,2.897,2.948,3.696,3.696,0.421
270,11.800,2.304,1.655,2.038,2.218,2.491,2.817,3.151,3.211,3.211,0.434
275,10.600,2.490,1.778,2.269,2.498,2.761,2.885,3.020,3.217,3.217,0.402
280,11.400,2.503,1.734,2.150,2.476,2.788,2.972,3.655,3.708,3.708,0.400
285,9.400,2.400,1.580,2.075,2.420,2.775,2.937,3.064,3.965,3.965,0.417
290,11.000,2.285,1.726,2.001,2.248,2.510,2.876,3.013,3.088,3.088,0.438
295,11.000,2.328,1.686,2.095,2.275,2.534,2.735,3.034,3.413,3.413,0.430
300,9.800,2.378,1.733,1.974,2.300,2.721,3.012,3.164,3.615,3.615,0.420
305,10.400,2.611,1.782,2.148,2.474,2.960,3.249,3.553,5.952,5.952,0.383
310,11.800,2.441,1.543,2.108,2.323,2.859,3.017,3.149,3.425,3.425,0.410
315,9.400,2.378,1.599,2.018,2.233,2.718,3.014,3.420,3.486,3.486,0.421
320,13.200,2.339,1.737,2.115,2.346,2.575,2.829,2.937,3.114,3.114,0.427
325,9.800,2.262,1.679,1.967,2.212,2.533,2.778,2.944,3.060,3.060,0.442
330,11.400,2.232,1.576,1.957,2.212,2.439,2.781,2.902,3.310,3.310,0.448
335,12.400,2.296,1.704,1.977,2.262,2.536,2.744,2.918,3.755,3.755,0.435
340,14.400,2.217,1.634,1.992,2.169,2.409,2.735,3.044,3.175,3.175,0.451
345,13.800,2.297,1.621,2.045,2.293,2.536,2.677,2.954,3.367,3.367,0.435
