Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,300.200,225.563,1.098,35.057,155.376,340.363,559.664,688.119,923.441,1093.421,0.004
5,300.000,7.327,1.122,4.744,6.333,9.484,11.963,13.888,17.705,39.943,0.136
10,300.000,7.836,1.050,4.420,6.085,9.546,12.542,14.885,39.237,85.425,0.128
15,300.000,8.009,1.091,4.420,6.282,9.581,12.932,16.071,42.224,91.636,0.125
20,300.000,7.761,1.025,4.306,6.133,9.281,11.763,14.422,42.031,213.131,0.129
25,300.000,9.786,0.967,5.800,9.632,12.898,15.940,17.903,22.927,27.911,0.102
30,300.000,7.170,0.959,4.234,5.637,8.926,11.435,13.768,29.075,78.749,0.139
35,300.000,7.086,0.940,4.272,5.845,9.251,12.067,14.049,19.258,32.944,0.141
40,300.000,11.281,0.930,4.995,8.086,11.779,16.594,36.407,77.092,205.056,0.089
45,300.000,10.121,0.964,4.772,6.981,10.633,14.435,23.236,77.168,215.176,0.099
50,300.000,8.271,0.787,4.436,6.129,9.785,12.963,15.833,59.168,95.104,0.121
55,300.000,9.927,0.740,4.692,6.978,10.325,14.151,17.891,94.071,140.813,0.101
60,300.000,11.339,0.863,6.296,10.112,13.726,17.161,19.558,68.297,104.363,0.088
65,300.000,8.120,0.752,4.600,6.590,10.345,13.421,16.594,33.778,77.443,0.123
70,300.000,8.375,0.832,4.423,6.298,9.652,12.978,16.869,60.086,86.579,0.119
75,300.000,7.368,0.711,4.306,5.821,9.142,12.047,13.834,36.033,79.061,0.136
80,300.000,7.547,0.713,4.340,6.023,9.569,12.640,14.874,23.864,73.394,0.133
85,300.000,8.219,0.764,4.422,6.160,9.683,12.526,15.166,61.340,89.376,0.122
90,300.000,7.753,0.760,4.360,6.201,9.707,12.731,15.354,33.467,79.822,0.129
95,300.000,10.671,0.798,5.624,9.806,13.525,17.231,20.240,47.333,96.656,0.094
100,300.000,8.004,0.726,4.352,6.182,9.490,12.417,15.667,46.199,82.365,0.125
105,300.000,7.278,0.692,4.156,5.735,9.119,11.928,13.851,21.946,90.737,0.137
110,300.000,7.122,0.702,4.280,6.152,9.184,11.744,13.378,21.402,54.316,0.140
115,300.000,7.447,0.663,4.347,5.999,9.133,11.659,13.942,38.943,88.545,0.134
120,300.000,12.315,0.774,5.292,10.404,15.965,21.951,26.646,60.633,120.656,0.081
125,300.000,7.499,0.766,4.489,6.241,9.919,13.124,15.021,20.047,28.284,0.133
130,300.000,8.391,0.707,4.540,7.410,10.785,14.894,17.211,23.669,216.139,0.119
135,300.000,7.096,0.642,4.231,5.690,9.135,11.707,13.133,16.969,215.255,0.141
140,300.000,6.777,0.668,4.207,5.862,8.954,11.041,12.873,18.069,29.983,0.148
145,300.000,6.951,0.667,4.323,5.731,9.015,11.200,13.070,16.436,229.953,0.144
150,300.000,7.796,0.653,4.340,6.139,9.537,12.546,15.721,38.796,101.831,0.128
155,300.000,7.217,0.591,4.179,5.583,9.021,12.039,14.109,31.395,84.400,0.139
160,300.000,6.949,0.672,4.209,6.106,9.099,11.820,13.726,17.310,26.550,0.144
