Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,258,258.000,16571,93859,250756,356554,636973,855817,931281,1071410,1093421
1,260,260.000,38843,160115,286782,333862,510590,632263,694979,809474,904026
2,360,360.000,31167,134080,256431,279501,388160,521709,594697,808888,1014337
3,323,323.000,3839,63144,138831,176160,275668,400881,464790,535400,689247
4,300,300.000,1098,4741,6090,7516,9763,12538,14897,22358,25649
5,300,300.000,1122,4935,6854,7498,9528,12128,13747,18632,20917
6,300,300.000,1122,4840,6410,7142,9396,11231,12921,15437,15959
7,300,300.000,1312,4565,5847,7018,9251,12211,14346,21445,23431
8,300,300.000,1317,4768,6152,7641,9893,12747,15209,21619,39943
9,300,300.000,1336,4708,6543,7332,9603,11805,13888,17705,27723
10,300,300.000,1356,4754,7059,10760,10852,16613,39237,78631,85425
11,300,300.000,1212,4447,5950,7231,9406,12587,14282,25643,26967
12,300,300.000,1233,4282,5735,6783,9048,11472,12773,19651,23065
13,300,300.000,1170,4401,6312,7521,9751,12685,14882,20940,25128
14,300,300.000,1050,4334,5852,6881,9306,11328,12672,16661,16739
15,300,300.000,1093,4528,7801,8426,10409,16071,20883,27424,31175
16,300,300.000,1091,4632,6160,7097,9357,11802,13989,15933,20682
17,300,300.000,1192,4440,6546,10578,10000,15920,42224,85032,91636
18,300,300.000,1210,4115,5293,6430,8564,10429,13175,17247,23451
19,300,300.000,1138,4577,6142,7510,10120,12932,15074,21179,23302
20,300,300.000,1062,4414,6211,7136,9410,11957,13239,19651,23532
21,300,300.000,1181,4400,6056,8465,9280,11843,14982,42031,213131
22,300,300.000,1174,4233,5687,6794,9229,11418,13389,16368,19558
23,300,300.000,1025,4276,5597,6788,9071,10927,13647,17609,25203
24,300,300.000,1074,4314,7228,9619,9490,13150,32331,71983,78802
25,300,300.000,1184,4182,5657,6868,9263,11374,13214,19643,27217
26,300,300.000,967,6012,9226,9295,11899,15300,16275,20506,21575
27,300,300.000,1065,8950,11576,11734,15137,18277,21602,24800,27911
28,300,300.000,1050,8595,11174,11007,14028,15976,17039,21466,27407
29,300,300.000,1027,5328,9974,10021,13795,16687,18345,23137,25942
30,300,300.000,959,4055,4919,6198,8567,10194,12016,14994,17344
