Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,498.257,119.647,337.545,484.442,631.228,794.099,1076.908,1145.244,1145.244,0.002
5,13.000,15.281,5.048,11.062,15.744,18.435,22.791,24.727,29.449,29.449,0.065
10,13.600,14.422,4.614,10.422,13.880,17.989,21.808,27.053,34.248,34.248,0.069
15,11.200,12.758,5.006,9.299,12.410,15.757,18.820,24.384,28.418,28.418,0.078
20,12.800,12.849,4.882,8.679,11.608,15.682,19.831,20.645,39.303,39.303,0.078
25,9.600,16.509,4.620,10.170,16.266,21.203,27.510,27.928,44.958,44.958,0.061
30,10.600,13.460,4.857,10.110,12.870,16.731,21.880,22.918,27.537,27.537,0.074
35,12.200,12.594,4.711,8.767,11.380,17.042,19.860,22.244,27.566,27.566,0.079
40,11.400,11.715,4.293,6.423,11.682,15.882,17.897,20.711,26.371,26.371,0.085
45,14.400,12.459,3.956,7.808,11.450,16.159,18.304,21.464,41.770,41.770,0.080
50,11.000,9.844,4.422,6.473,8.845,12.301,14.880,17.602,24.279,24.279,0.102
55,10.600,11.260,4.430,6.893,9.940,14.616,17.442,20.339,26.840,26.840,0.089
60,10.600,11.452,4.367,7.882,11.368,14.948,17.026,18.953,23.643,23.643,0.087
65,13.000,14.199,5.048,10.066,12.645,18.605,22.377,23.406,24.944,24.944,0.070
70,11.600,10.950,4.945,7.275,10.148,13.621,16.658,21.644,24.715,24.715,0.091
75,10.000,11.982,4.466,8.307,12.139,15.187,18.150,22.934,26.170,26.170,0.083
80,12.400,14.898,5.510,11.073,15.956,17.815,20.796,21.758,29.508,29.508,0.067
85,12.800,12.423,4.336,8.317,12.083,16.540,19.304,21.597,33.471,33.471,0.080
90,11.400,14.817,4.972,9.359,13.997,16.960,24.927,28.658,52.564,52.564,0.067
95,10.800,12.817,4.133,8.422,11.080,15.417,21.234,28.593,32.638,32.638,0.078
100,11.800,12.747,5.100,8.285,11.093,16.317,21.721,24.727,29.444,29.444,0.078
105,11.600,11.153,4.194,7.058,10.532,14.586,17.556,21.511,23.056,23.056,0.090
110,10.800,12.546,3.851,8.286,13.079,15.894,19.127,19.892,27.742,27.742,0.080
115,9.400,11.167,4.038,8.038,10.964,14.457,16.567,18.601,19.831,19.831,0.090
120,10.400,11.227,3.489,8.181,11.024,14.256,18.132,18.979,25.853,25.853,0.089
125,11.200,11.463,4.071,8.904,12.421,13.948,16.025,20.341,21.924,21.924,0.087
130,11.400,15.105,3.770,10.335,14.841,18.667,24.566,28.089,30.105,30.105,0.066
135,13.200,12.964,4.333,7.286,12.938,17.984,21.625,23.588,32.267,32.267,0.077
140,12.200,11.658,4.043,7.013,11.031,13.864,18.067,21.138,32.458,32.458,0.086
145,11.600,11.576,3.614,7.230,11.218,14.862,18.841,22.513,27.885,27.885,0.086
150,12.200,13.943,4.070,9.772,13.328,17.120,21.363,24.004,31.961,31.961,0.072
155,10.800,13.010,3.713,7.663,13.009,17.298,21.496,24.771,26.291,26.291,0.077
160,12.400,11.394,3.848,5.814,12.032,13.893,17.987,21.748,27.583,27.583,0.088
165,9.600,14.686,4.198,10.443,14.097,18.428,22.917,28.310,30.063,30.063,0.068
170,12.200,11.450,3.899,7.741,9.963,14.251,19.258,22.117,27.880,27.880,0.087
175,12.000,11.847,4.004,7.545,11.133,15.432,18.481,22.507,24.931,24.931,0.084
180,13.800,11.966,3.776,7.619,12.344,15.857,18.722,19.824,21.368,21.368,0.084
185,12.400,11.647,4.774,8.024,11.870,14.870,17.382,17.872,22.967,22.967,0.086
190,12.800,10.316,3.932,7.114,10.121,12.622,16.427,17.806,21.315,21.315,0.097
195,13.800,10.765,3.768,7.093,9.997,13.947,16.782,21.550,32.220,32.220,0.093
200,12.000,15.842,4.832,11.553,15.581,19.937,23.727,26.731,27.209,27.209,0.063
205,10.800,12.870,3.914,7.514,12.251,17.065,21.216,24.741,27.013,27.013,0.078
210,14.800,12.891,3.757,8.341,11.656,17.732,20.761,23.644,29.700,29.700,0.078
215,12.400,13.883,4.407,9.188,13.617,18.685,21.769,22.486,29.024,29.024,0.072
220,11.200,16.187,4.259,9.052,12.312,17.527,22.592,28.154,112.176,112.176,0.062
225,8.000,14.599,5.146,9.936,13.356,20.607,23.782,24.963,47.779,47.779,0.068
230,11.800,14.058,4.007,9.232,13.005,16.290,20.134,22.772,78.061,78.061,0.071
235,9.600,16.298,4.060,9.286,13.085,17.867,25.034,31.007,98.577,98.577,0.061
240,12.400,12.035,4.072,9.236,11.891,15.178,18.365,18.873,21.680,21.680,0.083
245,13.800,12.998,3.437,7.273,10.941,15.566,20.170,29.527,65.917,65.917,0.077
250,12.400,14.345,4.194,8.396,12.848,15.962,19.490,21.379,86.067,86.067,0.070
255,11.200,13.732,4.052,8.205,11.236,15.890,19.672,23.846,95.154,95.154,0.073
260,10.600,11.905,4.664,7.937,11.846,14.827,17.584,22.535,22.977,22.977,0.084
265,13.200,12.954,4.539,9.518,12.286,15.134,17.693,19.065,63.076,63.076,0.077
270,10.000,15.957,4.717,11.619,16.241,18.759,24.188,26.343,34.976,34.976,0.063
275,14.600,16.605,5.301,10.439,13.098,18.324,24.767,50.557,63.123,63.123,0.060
280,9.800,15.500,4.529,8.702,13.494,18.404,24.640,33.316,66.266,66.266,0.065
285,13.400,11.477,4.481,8.043,10.920,14.056,17.802,20.082,21.168,21.168,0.087
290,9.800,17.893,7.306,12.175,17.956,21.809,29.011,31.113,32.820,32.820,0.056
295,13.000,11.470,4.442,7.877,11.076,14.155,18.247,20.633,27.265,27.265,0.087
300,11.000,12.700,3.718,8.961,11.962,15.035,20.417,28.219,31.447,31.447,0.079
305,12.000,12.043,3.359,7.169,12.383,16.062,19.335,21.400,22.435,22.435,0.083
310,12.600,14.662,3.644,8.818,12.533,15.825,20.773,25.327,85.948,85.948,0.068
315,11.000,13.103,4.024,8.259,12.708,15.414,20.660,25.730,39.163,39.163,0.076
320,14.000,10.550,3.639,6.571,10.640,13.800,16.680,17.909,23.122,23.122,0.095
325,11.200,15.927,4.744,10.033,13.894,17.676,22.536,40.175,73.511,73.511,0.063
330,11.000,15.569,5.047,10.515,13.409,16.430,19.548,21.581,86.297,86.297,0.064
335,13.200,16.793,4.316,11.035,14.819,19.534,23.061,33.374,82.429,82.429,0.060
340,12.600,14.925,3.624,8.563,13.039,16.492,23.242,27.735,76.323,76.323,0.067
345,13.200,13.494,3.656,6.669,11.638,16.167,20.901,23.794,76.815,76.815,0.074
350,12.000,12.227,4.916,7.669,12.187,15.617,20.648,21.631,37.840,37.840,0.082
355,13.000,12.326,4.311,7.625,11.319,15.671,18.886,19.920,55.228,55.228,0.081
360,13.000,12.397,3.705,8.062,10.834,13.689,18.231,22.992,76.648,76.648,0.081
365,11.600,11.897,3.866,6.824,9.982,14.112,18.163,21.008,66.245,66.245,0.084
370,10.800,17.521,4.774,10.742,14.766,18.460,23.905,59.490,79.264,79.264,0.057
375,12.000,12.009,4.038,8.818,11.704,14.498,18.989,22.343,25.728,25.728,0.083
380,12.800,10.902,3.787,6.493,11.818,13.863,15.891,16.776,23.480,23.480,0.092
385,13.400,12.728,3.580,8.264,12.414,15.323,18.449,21.139,74.226,74.226,0.079
390,12.800,13.093,4.093,8.525,13.255,16.830,21.686,22.923,28.701,28.701,0.076
395,11.800,14.953,3.887,8.650,13.154,18.104,22.021,22.739,80.330,80.330,0.067
400,11.200,12.159,4.514,8.944,11.852,14.439,19.299,20.999,36.500,36.500,0.082
405,13.000,17.145,4.716,11.707,15.421,21.843,26.732,27.574,80.725,80.725,0.058
410,12.400,11.534,3.991,5.981,12.042,15.146,19.281,22.738,25.038,25.038,0.087
415,12.400,12.104,3.853,5.593,9.369,13.827,18.106,27.000,68.832,68.832,0.083
420,11.200,11.612,3.991,7.286,10.766,16.031,19.570,22.426,24.458,24.458,0.086
