Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,135.000,381.822,20.716,196.724,374.202,520.388,650.224,776.124,959.575,1127.936,0.003
5,132.800,7.401,2.634,5.135,6.408,7.979,10.427,12.042,36.988,80.407,0.135
10,140.600,7.018,2.770,5.375,6.600,8.397,10.213,11.788,13.756,16.768,0.143
15,137.600,6.590,2.289,5.046,6.219,7.630,9.740,10.929,13.646,16.002,0.152
20,136.600,6.377,2.664,4.986,6.067,7.261,9.192,10.414,12.607,14.045,0.157
25,141.800,6.839,3.024,4.953,6.219,7.538,9.572,11.072,13.818,216.738,0.146
30,139.000,6.502,2.392,4.995,6.107,7.513,9.548,10.751,13.387,16.691,0.154
35,133.000,6.553,2.729,4.806,6.224,7.649,9.848,11.237,13.393,16.189,0.153
40,139.200,6.977,2.636,5.367,6.566,8.270,10.255,11.659,12.987,15.169,0.143
45,133.000,6.307,2.501,4.756,6.003,7.325,9.306,10.423,13.204,17.270,0.159
50,128.000,6.644,2.362,4.971,6.295,7.893,9.863,11.051,13.787,15.123,0.151
55,137.000,6.448,2.846,4.842,6.167,7.523,9.344,10.565,12.933,16.264,0.155
60,141.800,6.790,3.088,5.180,6.369,8.170,9.959,11.097,13.248,19.519,0.147
65,136.600,6.476,2.924,4.936,6.144,7.603,9.487,10.528,12.507,13.935,0.154
70,133.400,6.641,3.020,5.214,6.323,7.648,9.625,10.988,12.741,14.456,0.151
75,138.800,6.203,2.946,4.861,6.052,7.170,8.668,9.528,12.375,13.902,0.161
80,139.000,7.057,3.016,5.344,6.547,8.389,10.526,11.929,14.565,16.952,0.142
85,140.000,6.631,2.443,5.134,6.336,7.679,9.384,10.671,13.643,15.625,0.151
90,134.400,7.055,2.768,5.285,6.661,8.490,10.233,11.480,14.590,16.477,0.142
95,135.200,7.674,2.891,5.771,7.036,9.056,10.835,13.068,16.985,32.883,0.130
100,132.000,6.741,3.159,5.116,6.439,7.904,9.891,10.972,13.116,17.662,0.148
105,137.200,6.835,2.468,5.113,6.433,8.201,10.078,11.383,13.943,18.591,0.146
110,137.800,6.941,2.887,5.207,6.487,8.207,10.300,11.936,14.716,17.039,0.144
115,133.600,6.376,3.069,4.734,6.068,7.470,9.250,10.702,12.881,14.371,0.157
120,134.400,6.860,2.466,4.996,6.182,7.624,9.517,10.908,13.838,221.062,0.146
125,131.000,6.320,3.076,4.925,5.971,7.294,9.052,10.003,12.500,15.411,0.158
130,135.600,6.933,3.152,5.320,6.488,8.330,10.308,11.412,13.796,18.521,0.144
135,130.600,6.592,2.635,4.955,6.349,7.749,9.466,10.994,12.739,14.635,0.152
140,136.800,6.156,3.019,4.698,5.963,7.241,8.705,9.804,12.034,14.064,0.162
145,134.400,6.369,2.339,4.767,6.021,7.416,9.197,11.408,13.348,14.062,0.157
150,136.400,7.777,3.042,5.702,7.278,9.445,11.980,12.785,15.646,17.639,0.129
155,137.800,6.983,2.989,5.228,6.567,8.421,10.225,11.421,13.456,18.136,0.143
160,132.200,6.364,2.944,4.775,6.056,7.360,9.364,10.637,13.636,16.316,0.157
165,132.400,7.093,3.021,4.829,6.072,7.638,9.424,10.714,13.676,220.770,0.141
170,137.000,6.323,2.748,4.790,5.992,7.251,9.590,10.617,12.750,15.112,0.158
175,132.800,6.098,3.017,4.636,5.702,7.076,8.990,9.930,12.044,13.735,0.164
180,128.600,6.572,2.668,4.926,6.186,7.525,9.681,10.740,13.296,21.663,0.152
185,134.800,6.324,2.955,4.858,5.966,7.419,9.020,10.504,12.966,16.106,0.158
190,131.600,6.118,2.454,4.717,5.898,6.977,8.682,10.113,12.430,16.198,0.163
195,134.000,6.403,2.811,4.968,6.129,7.317,9.231,10.489,12.656,14.448,0.156
200,139.000,6.318,2.489,4.705,5.973,7.237,9.398,10.541,13.537,15.260,0.158
205,142.600,6.844,2.979,5.084,6.368,8.028,10.348,11.700,13.830,17.915,0.146
210,133.400,7.052,2.841,5.128,6.393,8.620,10.898,12.282,15.831,25.099,0.142
