Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.200,81.675,15.725,38.895,56.869,117.870,160.355,171.607,315.668,315.668,0.012
5,10.400,1.613,1.220,1.339,1.459,1.753,2.167,2.492,2.806,2.806,0.620
10,11.000,1.518,1.085,1.260,1.383,1.696,2.053,2.267,2.551,2.551,0.659
15,10.000,1.434,1.067,1.300,1.380,1.529,1.794,1.973,2.390,2.390,0.697
20,11.400,1.474,1.108,1.294,1.401,1.600,1.848,2.064,2.120,2.120,0.679
25,13.000,1.420,1.031,1.259,1.361,1.527,1.768,1.882,2.275,2.275,0.704
30,10.800,1.374,1.028,1.220,1.302,1.447,1.859,1.952,2.173,2.173,0.728
35,14.200,1.351,0.766,1.178,1.289,1.487,1.707,1.846,2.258,2.258,0.740
40,10.800,1.362,0.863,1.113,1.237,1.434,1.682,2.007,5.078,5.078,0.734
45,11.800,1.228,0.849,1.105,1.176,1.309,1.517,1.674,1.984,1.984,0.814
50,14.200,1.271,0.889,1.133,1.232,1.356,1.561,1.769,1.904,1.904,0.787
55,11.000,1.230,0.804,1.085,1.178,1.285,1.554,1.989,2.059,2.059,0.813
60,11.200,1.237,0.923,1.094,1.204,1.369,1.497,1.700,1.854,1.854,0.808
65,11.000,1.252,0.757,1.093,1.213,1.419,1.528,1.674,2.030,2.030,0.799
70,13.400,1.138,0.690,0.985,1.120,1.244,1.456,1.565,1.782,1.782,0.878
75,12.800,1.164,0.789,0.963,1.156,1.354,1.446,1.572,2.003,2.003,0.859
80,10.200,1.293,0.735,1.094,1.259,1.457,1.786,1.947,2.587,2.587,0.773
85,10.800,1.143,0.774,0.971,1.120,1.305,1.471,1.571,1.858,1.858,0.875
90,13.800,1.106,0.733,0.908,1.037,1.197,1.388,1.898,2.457,2.457,0.904
95,12.800,1.213,0.756,1.019,1.199,1.366,1.503,1.647,2.068,2.068,0.824
100,15.000,1.158,0.803,0.987,1.145,1.282,1.441,1.560,1.930,1.930,0.864
105,12.600,1.112,0.688,0.907,1.062,1.252,1.434,1.627,1.865,1.865,0.899
110,9.800,1.112,0.674,0.954,1.104,1.283,1.391,1.526,1.833,1.833,0.899
115,11.400,1.067,0.748,0.907,1.037,1.148,1.417,1.730,1.831,1.831,0.937
120,13.200,1.101,0.704,0.875,1.076,1.282,1.430,1.571,1.949,1.949,0.908
125,12.600,1.016,0.754,0.840,0.934,1.101,1.368,1.418,2.126,2.126,0.984
130,8.600,1.070,0.684,0.832,0.974,1.278,1.351,1.522,2.425,2.425,0.934
135,16.000,1.030,0.616,0.823,0.955,1.163,1.419,1.722,2.281,2.281,0.971
140,11.600,0.909,0.662,0.783,0.877,0.998,1.165,1.251,1.315,1.315,1.101
145,12.800,0.961,0.684,0.815,0.895,1.033,1.366,1.482,1.570,1.570,1.040
150,12.600,1.229,0.673,0.869,1.154,1.429,1.702,1.955,2.869,2.869,0.814
155,13.200,1.287,0.666,0.974,1.236,1.486,1.859,1.918,2.812,2.812,0.777
160,12.600,1.052,0.696,0.795,1.032,1.218,1.330,1.493,2.087,2.087,0.951
165,12.200,1.027,0.680,0.817,0.931,1.184,1.375,1.510,2.158,2.158,0.974
170,11.200,1.038,0.642,0.803,0.949,1.232,1.413,1.549,2.993,2.993,0.964
175,8.600,0.947,0.691,0.794,0.937,1.049,1.146,1.391,1.401,1.401,1.056
180,10.600,0.940,0.680,0.775,0.900,1.038,1.266,1.428,1.551,1.551,1.064
185,11.400,1.033,0.617,0.839,0.923,1.226,1.404,1.575,1.825,1.825,0.968
190,14.800,0.899,0.667,0.775,0.847,0.944,1.145,1.403,1.688,1.688,1.112
195,13.400,0.903,0.635,0.739,0.824,1.012,1.232,1.409,1.522,1.522,1.107
200,10.400,0.947,0.618,0.773,0.899,1.118,1.258,1.396,1.662,1.662,1.056
205,11.200,0.982,0.675,0.809,0.946,1.057,1.383,1.531,1.604,1.604,1.018
210,12.800,4.237,0.667,0.806,0.929,1.122,1.447,1.632,207.287,207.287,0.236
215,13.600,0.915,0.623,0.773,0.856,1.038,1.210,1.299,1.643,1.643,1.093
220,10.800,0.886,0.661,0.760,0.828,0.996,1.118,1.284,1.348,1.348,1.128
225,13.200,0.855,0.656,0.731,0.805,0.933,1.025,1.227,1.349,1.349,1.170
230,11.200,0.910,0.688,0.761,0.852,1.051,1.212,1.345,1.388,1.388,1.098
235,11.200,0.917,0.651,0.730,0.799,1.024,1.165,1.425,2.851,2.851,1.090
240,12.000,0.906,0.671,0.750,0.867,1.018,1.211,1.326,1.412,1.412,1.104
245,15.600,0.921,0.623,0.750,0.856,1.033,1.232,1.437,2.064,2.064,1.086
250,12.800,0.921,0.593,0.760,0.865,1.021,1.242,1.344,1.750,1.750,1.085
255,8.400,0.892,0.648,0.763,0.839,0.991,1.154,1.265,1.367,1.367,1.121
260,11.600,0.878,0.612,0.743,0.833,0.966,1.221,1.314,1.402,1.402,1.139
265,12.600,0.901,0.610,0.737,0.783,0.938,1.340,1.505,2.261,2.261,1.109
270,13.200,0.948,0.670,0.782,0.896,1.013,1.263,1.417,2.036,2.036,1.055
275,10.600,1.067,0.692,0.878,0.996,1.204,1.480,1.645,1.821,1.821,0.937
