Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,129.200,250.484,8.927,108.247,217.424,359.838,476.196,564.682,701.292,950.746,0.004
5,130.600,6.554,3.692,4.726,5.391,6.349,8.039,9.321,43.235,88.946,0.153
10,119.800,5.357,3.735,4.479,5.047,5.934,6.808,7.484,9.343,13.397,0.187
15,126.800,5.112,3.490,4.321,4.773,5.456,6.359,6.801,11.612,23.265,0.196
20,131.400,4.881,3.593,4.251,4.686,5.300,5.963,6.399,8.442,16.091,0.205
25,125.200,7.468,3.433,4.433,5.348,9.903,14.344,16.667,20.731,23.564,0.134
30,126.600,6.252,3.201,4.364,4.852,5.798,10.590,15.340,22.136,51.225,0.160
35,129.000,4.695,3.337,4.073,4.504,5.075,5.724,6.365,7.427,9.754,0.213
40,126.400,4.735,3.445,4.152,4.594,5.118,5.762,6.286,7.279,8.489,0.211
45,126.000,5.413,3.511,4.048,4.460,4.939,5.627,6.364,41.017,56.429,0.185
50,135.600,4.538,3.421,3.994,4.432,4.937,5.419,5.746,6.590,7.454,0.220
55,127.800,4.521,3.468,3.987,4.377,4.894,5.538,5.915,6.599,8.974,0.221
60,124.400,5.023,3.235,4.028,4.570,5.206,6.498,8.904,11.691,15.135,0.199
65,129.400,6.624,3.360,4.293,5.345,8.883,10.445,11.438,14.005,16.328,0.151
70,130.800,4.524,3.439,4.002,4.356,4.854,5.398,5.765,6.464,12.261,0.221
75,125.200,4.390,3.418,3.951,4.228,4.670,5.252,5.551,6.660,11.586,0.228
80,127.800,5.815,3.473,4.321,5.300,6.743,8.579,9.556,12.267,23.216,0.172
85,124.600,5.617,3.579,4.292,5.110,6.169,7.919,9.018,11.506,32.688,0.178
90,127.600,5.618,3.455,4.387,5.135,6.162,7.686,8.775,13.313,23.162,0.178
95,130.400,6.458,3.461,4.696,5.543,7.774,10.133,11.425,13.873,17.277,0.155
100,127.400,6.494,3.605,4.438,5.299,8.195,10.922,11.852,13.794,16.167,0.154
105,127.000,4.918,3.324,4.189,4.699,5.340,6.065,6.567,7.509,20.606,0.203
110,127.200,4.788,3.375,4.160,4.640,5.236,5.873,6.232,7.623,8.640,0.209
115,133.200,4.594,3.462,4.041,4.414,4.915,5.540,6.046,7.174,11.340,0.218
120,128.200,4.568,3.163,4.028,4.411,4.901,5.546,5.897,7.565,9.142,0.219
125,132.000,4.637,3.399,4.075,4.461,5.015,5.663,6.115,7.501,9.795,0.216
130,130.600,7.146,3.561,4.451,5.432,8.763,10.910,12.488,29.231,62.324,0.140
135,126.200,5.610,3.207,4.108,4.589,5.775,9.599,10.928,13.213,14.022,0.178
140,127.600,4.706,3.255,4.082,4.451,4.979,5.563,6.057,7.366,34.645,0.213
145,128.000,4.623,3.465,4.033,4.477,5.003,5.715,6.154,6.976,8.753,0.216
150,127.200,5.303,3.462,4.412,4.936,5.619,6.502,7.449,13.664,28.189,0.189
155,128.400,5.069,3.585,4.251,4.695,5.276,6.042,6.574,16.351,30.696,0.197
160,133.000,4.648,3.421,4.096,4.551,5.046,5.590,6.145,6.707,7.461,0.215
165,130.400,6.867,3.609,4.757,6.086,8.753,10.369,11.583,13.905,15.780,0.146
170,125.800,5.219,3.408,4.112,4.564,5.260,6.399,9.319,16.004,30.649,0.192
175,133.200,4.706,3.420,4.069,4.458,4.984,5.640,6.024,8.342,25.373,0.212
180,133.800,4.658,3.205,4.070,4.495,5.001,5.670,6.116,7.713,13.291,0.215
185,131.400,4.543,3.259,4.020,4.411,4.916,5.541,5.876,6.712,9.026,0.220
190,129.000,4.537,3.327,4.060,4.388,4.845,5.489,5.847,7.001,10.046,0.220
195,126.200,4.661,3.449,4.043,4.480,4.993,5.551,6.032,7.476,26.509,0.215
200,127.000,7.292,3.470,4.804,7.327,9.296,10.758,11.788,13.687,18.254,0.137
205,121.600,4.620,3.479,4.070,4.505,4.995,5.566,6.034,6.893,7.972,0.216
210,126.400,4.823,3.417,4.123,4.562,5.202,5.993,6.519,9.889,16.683,0.207
