Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,156.514,13.535,90.552,157.583,217.195,255.802,298.264,377.199,377.199,0.006
5,13.200,3.826,1.856,2.406,2.997,4.750,5.773,5.910,18.234,18.234,0.261
10,15.000,2.961,1.872,2.388,2.741,3.494,4.227,4.578,5.208,5.208,0.338
15,14.400,2.822,1.640,2.118,2.654,3.177,4.303,4.932,5.325,5.325,0.354
20,7.800,2.727,1.748,2.104,2.501,3.195,3.468,4.133,5.418,5.418,0.367
25,10.400,2.915,1.850,2.486,2.856,3.216,3.702,4.491,4.605,4.605,0.343
30,13.000,2.751,1.673,2.356,2.662,3.092,3.685,3.807,4.453,4.453,0.363
35,11.600,2.651,1.722,2.225,2.561,2.946,3.285,3.673,4.286,4.286,0.377
40,12.200,2.622,1.754,2.301,2.484,2.906,3.450,3.691,4.363,4.363,0.381
45,14.800,2.609,1.632,2.254,2.555,2.999,3.314,3.726,3.815,3.815,0.383
50,11.200,2.485,1.598,2.230,2.454,2.797,3.014,3.204,3.397,3.397,0.402
55,13.600,2.504,1.717,2.132,2.440,2.889,3.203,3.345,3.521,3.521,0.399
60,12.000,2.511,1.612,2.068,2.453,2.755,3.383,3.556,4.761,4.761,0.398
65,10.000,2.648,1.902,2.317,2.653,2.918,3.243,3.292,3.738,3.738,0.378
70,10.800,2.486,1.724,2.171,2.461,2.736,3.054,3.407,4.330,4.330,0.402
75,13.200,2.372,1.704,2.056,2.320,2.640,2.900,2.972,3.569,3.569,0.422
80,10.600,2.536,1.571,2.111,2.475,2.823,3.328,3.550,4.088,4.088,0.394
85,11.800,2.548,1.609,2.101,2.562,2.889,3.357,3.660,3.988,3.988,0.393
90,12.800,2.659,1.626,2.214,2.638,3.026,3.285,3.591,6.319,6.319,0.376
95,10.800,3.359,1.822,2.529,2.894,3.517,5.405,7.193,9.041,9.041,0.298
100,13.800,2.545,1.606,2.258,2.539,2.847,3.119,3.469,4.477,4.477,0.393
105,11.600,2.307,1.664,1.932,2.249,2.518,2.917,3.237,4.124,4.124,0.433
110,14.400,2.484,1.612,2.060,2.379,3.015,3.348,3.701,4.033,4.033,0.403
115,12.400,2.347,1.712,1.919,2.276,2.688,2.939,3.090,4.036,4.036,0.426
120,13.800,2.409,1.634,2.040,2.337,2.680,3.139,3.178,3.387,3.387,0.415
125,13.200,2.394,1.714,2.053,2.318,2.675,3.020,3.210,3.709,3.709,0.418
130,13.800,2.421,1.547,2.065,2.376,2.815,3.104,3.263,3.830,3.830,0.413
135,14.000,2.248,1.531,1.959,2.240,2.491,2.798,2.888,3.829,3.829,0.445
140,11.800,2.339,1.575,2.034,2.304,2.646,2.986,3.254,3.464,3.464,0.427
145,13.200,2.206,1.569,1.898,2.113,2.368,2.806,2.972,3.580,3.580,0.453
150,11.600,2.602,1.717,2.272,2.603,2.806,3.126,3.494,4.546,4.546,0.384
155,9.800,2.544,1.685,2.155,2.500,2.929,3.262,3.587,3.784,3.784,0.393
160,9.800,2.608,1.782,2.248,2.618,3.070,3.252,3.286,3.457,3.457,0.383
165,15.400,2.360,1.493,2.107,2.296,2.586,2.879,3.143,3.621,3.621,0.424
170,13.800,2.272,1.691,2.033,2.180,2.541,2.866,2.931,3.143,3.143,0.440
175,13.400,2.229,1.488,1.986,2.202,2.419,2.634,2.817,3.264,3.264,0.449
180,13.200,2.235,1.642,1.910,2.219,2.400,2.852,2.924,3.126,3.126,0.448
185,10.000,2.289,1.616,1.973,2.213,2.494,2.860,3.304,3.455,3.455,0.437
190,11.800,2.227,1.701,1.951,2.176,2.404,2.730,3.039,3.300,3.300,0.449
195,12.600,2.300,1.503,2.001,2.255,2.580,2.833,2.958,3.262,3.262,0.435
200,11.600,2.341,1.705,2.135,2.321,2.596,2.843,3.015,3.195,3.195,0.427
205,13.800,2.354,1.656,2.043,2.238,2.533,2.990,3.122,4.046,4.046,0.425
210,12.600,2.660,1.667,2.046,2.427,2.929,3.699,4.254,7.035,7.035,0.376
215,12.000,2.581,1.680,2.222,2.485,2.975,3.325,3.691,4.290,4.290,0.388
220,11.600,2.436,1.718,2.001,2.419,2.577,3.249,3.519,4.154,4.154,0.410
225,12.000,2.443,1.605,2.141,2.389,2.780,3.103,3.181,3.422,3.422,0.409
230,14.200,2.257,1.541,1.949,2.140,2.512,2.817,3.051,3.380,3.380,0.443
235,13.800,2.270,1.572,1.929,2.186,2.501,3.042,3.143,3.694,3.694,0.441
240,12.400,2.259,1.625,2.006,2.258,2.477,2.651,2.771,3.126,3.126,0.443
245,13.200,2.267,1.488,1.985,2.229,2.571,2.765,2.861,3.161,3.161,0.441
250,11.200,2.252,1.683,1.942,2.176,2.533,2.929,3.086,3.192,3.192,0.444
255,8.400,2.284,1.568,2.130,2.301,2.464,2.590,2.774,3.388,3.388,0.438
260,10.400,2.268,1.564,1.919,2.171,2.601,2.871,3.075,3.587,3.587,0.441
265,14.000,2.264,1.694,1.959,2.197,2.508,2.910,3.025,3.346,3.346,0.442
270,9.400,2.273,1.608,1.961,2.134,2.557,2.760,3.297,4.012,4.012,0.440
275,14.200,2.556,1.644,2.106,2.515,2.816,3.114,3.456,5.696,5.696,0.391
280,13.000,2.864,1.662,2.178,2.393,2.773,3.150,6.427,12.332,12.332,0.349
285,11.000,2.400,1.694,2.118,2.256,2.746,3.119,3.247,3.446,3.446,0.417
290,13.000,2.290,1.640,2.015,2.227,2.514,2.800,2.942,3.923,3.923,0.437
295,15.400,2.373,1.721,2.064,2.337,2.589,2.897,3.149,3.458,3.458,0.421
300,11.600,2.378,1.781,2.038,2.340,2.595,2.959,3.081,3.421,3.421,0.420
305,11.400,2.350,1.733,2.062,2.242,2.641,2.893,2.935,3.297,3.297,0.426
