Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,300.200,310.578,8.927,137.598,280.826,446.084,587.163,678.892,907.792,1145.244,0.003
5,300.000,7.016,1.220,4.712,5.755,7.377,10.055,13.311,37.343,88.946,0.143
10,300.000,6.285,1.085,4.489,5.642,7.246,9.773,12.044,18.070,34.248,0.159
15,300.000,5.843,1.067,4.337,5.232,6.622,8.972,11.103,16.214,28.418,0.171
20,300.000,5.717,1.108,4.307,5.157,6.413,8.682,10.414,16.091,39.303,0.175
25,300.000,7.040,1.031,4.407,5.673,7.989,12.664,15.303,22.541,216.738,0.142
30,300.000,6.295,1.028,4.373,5.306,6.989,10.335,13.378,20.495,51.225,0.159
35,300.000,5.603,0.766,4.083,4.928,6.500,8.743,10.784,17.050,27.566,0.178
40,300.000,5.833,0.863,4.244,5.157,6.735,9.204,11.403,15.882,26.371,0.171
45,300.000,5.845,0.849,4.041,4.836,6.341,8.774,11.272,27.860,56.429,0.171
50,300.000,5.400,0.889,4.034,4.814,6.312,8.590,10.107,13.897,24.279,0.185
55,300.000,5.427,0.804,4.038,4.808,6.369,8.416,10.009,14.732,26.840,0.184
60,300.000,5.843,0.923,4.145,5.158,7.004,9.418,11.076,15.135,23.643,0.171
65,300.000,6.555,0.757,4.294,5.800,8.400,10.443,11.853,19.936,24.944,0.153
70,300.000,5.489,0.690,4.052,4.889,6.433,8.528,10.284,13.920,24.715,0.182
75,300.000,5.255,0.789,3.970,4.668,6.195,7.893,9.349,14.509,26.170,0.190
80,300.000,6.496,0.735,4.483,5.856,7.767,10.096,12.604,18.217,29.508,0.154
85,300.000,6.099,0.774,4.370,5.596,7.132,9.119,11.038,17.209,33.471,0.164
90,300.000,6.277,0.733,4.394,5.631,7.396,9.823,11.964,19.032,52.564,0.159
95,300.000,6.900,0.756,4.794,6.189,8.632,10.709,12.765,17.699,32.883,0.145
100,300.000,6.400,0.803,4.397,5.731,8.048,10.559,11.916,16.578,29.444,0.156
105,300.000,5.775,0.688,4.214,5.194,6.764,9.158,10.887,15.774,23.056,0.173
110,300.000,5.826,0.674,4.228,5.168,6.751,9.339,11.191,15.935,27.742,0.172
115,300.000,5.367,0.748,4.047,4.773,6.260,8.291,9.908,14.010,19.831,0.186
120,300.000,5.574,0.704,4.059,4.829,6.385,8.440,10.285,14.918,221.062,0.179
125,300.000,5.376,0.754,4.096,4.871,6.136,8.351,9.616,13.948,21.924,0.186
130,300.000,6.960,0.684,4.475,5.872,8.582,10.910,12.978,24.314,62.324,0.144
135,300.000,5.960,0.616,4.118,5.143,7.353,9.752,11.712,18.134,32.267,0.168
