Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,229,229.000,8927,126432,376778,392409,623438,786647,882637,1058059,1127936
1,266,266.000,35988,198070,358172,374580,531576,671959,732153,882996,937962
2,335,335.000,23216,138821,273187,295063,410201,544727,628991,827124,1094712
3,340,340.000,23646,141066,303182,300864,424572,543938,577622,707774,1145244
4,331,331.000,15725,110363,184369,228206,331794,428301,490719,587870,659542
5,300,300.000,1277,5162,6560,10179,9455,20462,37343,69687,88946
6,300,300.000,1220,4726,5759,6339,7289,9203,11248,22791,27549
7,300,300.000,1301,4761,5560,6241,6780,8835,11461,19911,24213
8,300,300.000,1318,4696,5736,6327,7283,9185,12042,18435,22206
9,300,300.000,1253,4441,5408,5990,6831,8846,11393,18026,21895
10,300,300.000,1271,4713,5760,6332,7113,9666,12435,17819,20290
11,300,300.000,1151,4697,5855,6580,7619,10335,12171,22632,34248
12,300,300.000,1085,4500,5765,6250,7310,9773,11469,18070,27053
13,300,300.000,1145,4409,5639,6272,7222,9844,12287,19248,27779
14,300,300.000,1260,4315,5230,5990,7142,9400,12267,15970,22527
15,300,300.000,1258,4599,5745,6459,7355,10412,12571,17415,23265
16,300,300.000,1067,4265,5062,5532,6332,8071,10460,17732,28418
17,300,300.000,1331,4276,5086,5513,6184,8292,9561,14312,18820
18,300,300.000,1139,4475,5441,6282,7165,10262,12146,16214,24830
19,300,300.000,1114,4236,4991,5426,6248,8077,9328,16423,22519
20,300,300.000,1249,4301,5082,5361,6187,7463,9307,13088,16230
21,300,300.000,1150,4118,4975,5445,6181,7810,9631,15598,18506
22,300,300.000,1212,4255,4998,5500,6381,7999,9821,14216,20645
23,300,300.000,1108,4541,5444,6036,6699,9265,11490,15498,39303
24,300,300.000,1208,4346,5248,6239,7017,9985,12607,20378,25603
25,300,300.000,1223,4216,5220,6054,6902,10541,12664,18529,23347
26,300,300.000,1179,4118,5009,5552,6535,8351,9572,13958,20222
27,300,300.000,1031,4241,4999,6191,6464,8307,9878,20482,216738
28,300,300.000,1069,4977,6258,7585,9144,13334,16667,22700,27928
29,300,300.000,1060,5708,8547,9816,13303,16994,19826,27679,44958
30,300,300.000,1028,4713,6421,8396,10590,15620,18733,38243,51225
31,300,300.000,1237,4046,5035,5529,6465,8030,10335,16691,22772
32,300,300.000,1103,4498,5250,5864,6636,9044,10808,14255,27537
33,300,300.000,1037,4483,5305,6073,6801,9800,12680,17020,22832
34,300,300.000,1101,4287,4939,5612,6436,8655,10222,16242,20377
35,300,300.000,1065,4036,4760,5873,6692,10384,12607,22244,24136
36,300,300.000,766,4169,5035,5757,6749,9427,11554,17309,27566
37,300,300.000,797,4067,5002,5677,6608,8901,11237,18362,19860
38,300,300.000,966,4055,4683,5203,6056,7724,9100,13928,19578
39,300,300.000,1149,4181,5060,5501,6593,8313,9984,13509,19949
40,300,300.000,863,4044,4832,5455,6503,8549,9557,17636,26371
